id,start,end,today,head_of_household,lga_of_residence,Village,birth_year,Gender,Marital_Status,Household_size,Educational_Level,Living_Arrangement,roof_type,Religious_Affiliation,coop_society_member,Specify_cooperative_society,planting_time,farmland_cultivated_ha,measure_of_seed,bags_of_potato_seeds,baskets_of_potato_seed,cost_of_seeds,cost_of_farm_prep,fert_bags_required,fert_bags_purchased_preseason,total_fert_bags_purchased,total_cost_of_fert,pesticides,farmland_other_crops,farm_prep_cost_other_crops,mixed_cropping,years_of_experience,prior_participation,potato_variety,potato_variety_caruso,potato_variety_marabel,potato_variety_lady_cristyl,potato_variety_nicola,potato_variety_other,potato_variety_diamant,time_of_harvest,time_of_harvest_may,time_of_harvest_june,time_of_harvest_july,time_of_harvest_august,time_of_harvest_september,time_of_harvest_october,quantity_harvested_bags,need_a_store,find_storage_facility,who_owns_facility,self_owned_facility,potato_value_chain_facility,individuals_owned_facility,a_group_facility,government_owned_facility,facility_by_others,potato_storage_time,bags_of_potato_stored,cost_of_storage,post_harvest_losses,post_harvest_loss_bags,potato_sold_bags,potato_bag_price,hired_labourers,hired_labourers_num,labourers_wages,nature_of_labour,want_copy_of_report,email_provider,core_potato_lga,farm_prep_prop,fert_prop,time_taken,survey_day,survey_month,potato_farmsize_ha,potato_seeds_tons,farmsize_others_ha,potato_harvested_tons,qty_potato_stored_tons,post_harvest_loss_tons,potato_sold_tons,potato_price_kg,potato_price_ton
1987-M-5955,2023-08-22T09:28:46Z,2023-08-22T12:58:08Z,2023-08-22,yes,Wase,Tudun Wada,1987,Male,Married,19,tertiary_education,owned,thatched,muslim,yes,Yulak  multipurpose cooperative society Ltd,may,3,baskets,0,15,258000,210000,20,15,15,18500,Redup,5,250000,no,8,no,marabel,0,1,0,0,0,0,june,0,1,0,0,0,0,100,yes,yes,individuals,0,0,1,0,0,0,14,80,125000,yes,3,70,23500,yes,156000,156000,manual,yes,gmail,No,45.65,75,209.363850001494,Tuesday,August,0.135,0.38,0.22,5,4,0.15,3.5,1.4,1400
1990-M-4351,2023-08-25T22:58:46Z,2023-08-25T23:07:27Z,2023-08-25,no,Shendam,Derlit,1990,Male,Single,3,tertiary_education,inherited,zinc,christian,no,na,april,2,baskets,0,2,15100,7500,3,1,1,30000,Boscalid,6,42008,no,2,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,15.15,33.33,8.69163333177567,Friday,August,0.09,0.05,0.27,0.1,0,0,0.1,0.04,40
1977-M-0023,2023-08-19T15:28:37Z,2023-08-19T15:37:31Z,2023-08-19,yes,Jos North,zakaliyo,1977,Male,Married,7,secondary_education,owned,zinc,muslim,no,na,june,5,bags,12,0,12000,300000,15,2,3,125000,10,2,180000,no,10,no,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,50,no,na,na,0,0,0,0,0,0,0,0,0,yes,5,40,17500,yes,10,120000,manual,yes,gmail,Yes,62.5,13.33,8.90013333559036,Saturday,August,0.225,0.6,0.09,2.5,0,0.25,2,0.8,800
1983-F-7725,2023-08-21T12:56:00Z,2023-08-21T13:00:15Z,2023-08-21,yes,Jos North,Zanqaliyo,1983,Female,Married,4,secondary_education,rented,zinc,muslim,yes,Kainuwa,june,5,bags,10,0,13000,280000,16,2,3,1250000,10each,1,50000,no,5,no,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,50,no,na,na,0,0,0,0,0,0,0,0,0,yes,5,40,16000,yes,14,150000,manual,no,na,Yes,84.85,12.5,4.25945000251134,Monday,August,0.225,0.5,0.04,2.5,0,0.25,2,0.8,800
1993-F-9355,2023-08-22T12:58:48Z,2023-08-22T13:02:38Z,2023-08-22,yes,Jos North,zangaliyo,1993,Female,Married,5,tertiary_education,rented,zinc,muslim,no,na,june,4,bags,6,0,13000,200000,10,2,1,60000,7ech,1,45000,no,4,no,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,35,no,na,na,0,0,0,0,0,0,0,0,0,yes,3,30,16500,yes,7,90000,manual,no,na,Yes,81.63,20,3.82141666809718,Tuesday,August,0.18,0.3,0.04,1.75,0,0.15,1.5,0.6,600
1990-F-1841,2023-08-21T12:35:16Z,2023-08-21T12:39:41Z,2023-08-21,yes,Jos North,Zankaliyo,1990,Female,Married,7,primary_education,rented,zinc,muslim,no,na,june,4,bags,8,0,13000,200000,15,3,2,125000,10,1,50000,no,6,no,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,40,no,na,na,0,0,0,0,0,0,0,0,0,yes,3,35,17000,yes,7,90000,manual,no,na,Yes,80,20,4.4191499988238,Monday,August,0.18,0.4,0.04,2,0,0.15,1.75,0.7,700
1983-M-1646,2023-08-19T14:46:21Z,2023-08-19T14:53:33Z,2023-08-19,yes,Jos North,Zankaliyo,1983,Male,Married,7,primary_education,rented,zinc,muslim,yes,kainuwa,june,5,bags,17,0,130000,180000,15,3,3,6,12,5,60000,no,10,no,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,55,yes,no,na,0,0,0,0,0,0,0,0,0,yes,8,40,17500,yes,11,110000,manual,no,na,Yes,75,20,7.2032333334287,Saturday,August,0.225,0.85,0.22,2.75,0,0.4,2,0.8,800
1975-M-1796,2023-08-23T14:04:46Z,2023-08-23T14:16:35Z,2023-08-23,yes,Shendam,"Shimankar, Kwansan and Kwapgalwa",1975,Male,Single,7,tertiary_education,owned,zinc,christian,no,na,may,3,bags,8,0,10000,20000,5,3,0,76000,Caterpillar,5,60000,yes,3,no,marabel,0,1,0,0,0,0,october,0,0,0,0,0,1,10,yes,no,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,yes,5,15000,manual,yes,gmail,No,25,60,11.8201833327611,Wednesday,August,0.135,0.4,0.22,0.5,0,0,0.1,0.04,40
1995-M-9548,2023-08-21T12:30:52Z,2023-08-21T12:35:15Z,2023-08-21,yes,Jos North,Zanqaliyo,1995,Male,Single,11,tertiary_education,rented,zinc,muslim,yes,Kainuwa,june,5,bags,9,0,12500,300000,16,2,3,125000,10,1,50000,no,5,no,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,46,no,na,na,0,0,0,0,0,0,0,0,0,yes,5,40,17000,yes,10,130000,manual,no,na,Yes,85.71,12.5,4.39321666558584,Monday,August,0.225,0.45,0.04,2.3,0,0.25,2,0.8,800
1981-F-4826,2023-08-22T14:03:17Z,2023-08-22T14:21:38Z,2023-08-22,yes,Wase,LAMBA,1981,Female,divorced,5,tertiary_education,rented,zinc,muslim,yes,Yulak multipurpose cooperative society Ltd,july,2,bags,15,0,350000,250000,20,15,13,22500,Redup,3,125000,no,6,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,95,yes,yes,self,1,0,0,0,0,0,6,98,140000,yes,3,70,560000,yes,12,150000,manual,yes,gmail,No,66.67,75,18.3545333345731,Tuesday,August,0.09,0.75,0.14,4.75,4.9,0.15,3.5,1.4,1400
1981-M-6429,2023-09-01T03:56:56Z,2023-09-01T04:03:15Z,2023-09-01,yes,Shendam,Namu,1981,Male,Married,3,tertiary_education,rented,zinc,christian,no,na,april,3,baskets,0,3,36000,21000,3,1,1,88000,Boscalid,8,89000,no,3,no,lady_cristyl,0,0,1,0,0,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,30000,no,0,0,manual,no,na,No,19.09,33.33,6.31074999968211,Friday,September,0.135,0.07,0.36,0.15,0,0,0.15,0.06,60
1985-M-3561,2023-08-26T03:08:43Z,2023-08-26T03:13:48Z,2023-08-26,no,Shendam,Shimankar,1985,Male,Married,4,tertiary_education,inherited,zinc,christian,no,na,april,3,baskets,0,2,24000,6500,3,1,1,62000,Boscalid,5,52000,no,2,no,lady_cristyl,0,0,1,0,0,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,15000,no,0,0,manual,no,na,No,11.11,33.33,5.0839000026385,Saturday,August,0.135,0.05,0.22,0.15,0,0,0.15,0.06,60
1968-M-7612,2023-08-27T00:04:21Z,2023-08-27T04:40:42Z,2023-08-27,yes,Shendam,Bakin kogi,1968,Male,Married,4,secondary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,1,1,3,1,1,68000,Boscalid,8,100000,no,2,no,caruso,1,0,0,0,0,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,30000,no,0,0,manual,no,na,No,0,33.33,276.339483336608,Sunday,August,0.135,0.05,0.36,0.15,0,0,0.15,0.06,60
1990-F-9234,2023-08-22T12:46:20Z,2023-08-22T12:50:12Z,2023-08-22,yes,Jos North,Zankaliyo,1990,Female,Married,10,secondary_education,rented,zinc,muslim,no,na,june,5,bags,8,0,13000,250000,16,2,2,80000,9,1,50000,no,7,no,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,47,no,na,na,0,0,0,0,0,0,0,0,0,yes,5,40,16500,yes,10,120000,manual,no,na,Yes,83.33,12.5,3.86181666851044,Tuesday,August,0.225,0.4,0.04,2.35,0,0.25,2,0.8,800
1983-M-4822,2023-08-19T14:00:59Z,2023-08-19T14:35:10Z,2023-08-19,yes,Jos North,Zakaliyo,1983,Male,Married,6,secondary_education,owned,zinc,muslim,no,na,june,5,bags,10,0,15000,150000,10,3,2,150000,10,1,50000,no,10,yes,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,50,yes,no,na,0,0,0,0,0,0,0,0,0,yes,10,30,18000,yes,10,100000,manual,yes,gmail,Yes,75,30,34.1922666668892,Saturday,August,0.225,0.5,0.04,2.5,0,0.5,1.5,0.6,600
1999-M-3943,2023-08-26T23:05:29Z,2023-08-26T23:21:14Z,2023-08-27,no,Shendam,Shimankar,1999,Male,Single,15,tertiary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,2400012000,18000,3,1,1,58000,Boscalid,5,36000,no,2,yes,other,0,0,0,0,1,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,12,30000,no,0,0,manual,no,na,No,33.33,33.33,15.7420833309491,Saturday,August,0.135,0.05,0.22,0.1,0,0,0.6,0.24,240
1989-M-8060,2023-08-25T10:09:23Z,2023-08-25T14:41:41Z,2023-08-25,no,Shendam,Shendam,1989,Male,Single,3,tertiary_education,owned,zinc,christian,no,na,april,2,baskets,0,2,13000,9000,2,1,1,30000,Boscalid,6,27000,no,2,no,nicola,0,0,0,1,0,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,25,50,272.295433330536,Friday,August,0.09,0.05,0.27,0.1,0,0,0.1,0.04,40
1982-M-3410,2023-08-26T03:19:08Z,2023-08-26T03:24:21Z,2023-08-26,no,Shendam,Kalong,1982,Male,Single,3,tertiary_education,owned,zinc,christian,no,na,april,2,baskets,0,3,46000,35000,3,1,1,60000,Boscalid,6,28000,no,2,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,45000,no,0,0,manual,no,na,No,55.56,33.33,5.21051666736603,Saturday,August,0.09,0.07,0.27,0.15,0,0,0.15,0.06,60
1987-M-5263,2023-08-25T09:27:15Z,2023-08-25T09:41:52Z,2023-08-25,yes,Shendam,Kuka,1987,Male,Married,7,tertiary_education,rented,zinc,christian,no,na,june,2,baskets,0,2,16000,36000,4,2,1,30000,Fluopicolid,9,36000,no,1,no,nicola other,0,0,0,1,1,0,august,0,0,0,1,0,0,1,no,na,na,0,0,0,0,0,0,0,0,0,no,0,1,15000,no,0,0,manual,no,na,No,50,50,14.6056499997775,Friday,August,0.09,0.05,0.41,0.05,0,0,0.05,0.02,20
1985-F-5225,2023-08-26T05:15:35Z,2023-08-26T05:21:00Z,2023-08-26,no,Shendam,Bakin kogi,1985,Female,Married,5,tertiary_education,owned,zinc,christian,no,na,april,3,baskets,0,3,24000,25000,3,1,1,60000,Boscalid,6,45000,no,1,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,35.71,33.33,5.41596666574478,Saturday,August,0.135,0.07,0.27,0.1,0,0,0.1,0.04,40
1986-F-2022,2023-08-26T10:47:08Z,2023-08-26T19:41:13Z,2023-08-26,no,Shendam,Zomo,1986,Female,Married,3,tertiary_education,owned,zinc,christian,no,na,april,2,baskets,0,2,13000,13000,2,2,2,32000,Boscalid,6,36000,no,2,no,nicola,0,0,0,1,0,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,37000,no,0,0,manual,no,na,No,26.53,100,534.083166666826,Saturday,August,0.09,0.05,0.27,0.15,0,0,0.1,0.04,40
1996-M-9747,2023-08-23T18:18:03Z,2023-08-25T07:11:14Z,2023-08-23,yes,Shendam,Kalong,1996,Male,Single,4,tertiary_education,rented,zinc,christian,no,na,june,2,baskets,0,2,12000,13000,2,2,2,30000,Boscalid,6,34000,no,2,no,nicola,0,0,0,1,0,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,15000,no,0,0,manual,no,na,No,27.66,100,2213.18278333346,Wednesday,August,0.09,0.05,0.27,0.1,0,0,0.1,0.04,40
1986-M-8979,2023-08-26T03:48:55Z,2023-08-26T03:52:59Z,2023-08-26,no,Shendam,Shimankar,1986,Male,Married,5,tertiary_education,rented,zinc,christian,no,na,april,2,baskets,0,3,36000,16000,3,1,1,60000,Boscalid,5,36000,no,2,no,lady_cristyl,0,0,1,0,0,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,45000,no,0,0,manual,no,na,No,30.77,33.33,4.05344999631246,Saturday,August,0.09,0.07,0.22,0.15,0,0,0.15,0.06,60
1985-M-9220,2023-08-26T10:17:42Z,2023-08-26T10:21:33Z,2023-08-26,yes,Shendam,Shimankar,1985,Male,Married,6,tertiary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,15000,3,1,1,69000,Boscalid,5,67000,no,2,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,30000,no,0,0,manual,no,na,No,18.29,33.33,3.84539999961853,Saturday,August,0.135,0.05,0.22,0.15,0,0,0.15,0.06,60
1983-M-9068,2023-09-01T04:07:59Z,2023-09-01T04:12:21Z,2023-09-01,yes,Shendam,Shimankar,1983,Male,Married,5,tertiary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,16000,2,1,1,56000,Boscalid,6,58000,no,3,no,caruso,1,0,0,0,0,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,30000,no,0,0,manual,no,na,No,21.62,50,4.35928333202998,Friday,September,0.135,0.05,0.27,0.15,0,0,0.15,0.06,60
1976-M-5837,2023-08-26T04:44:37Z,2023-08-26T04:48:22Z,2023-08-26,no,Shendam,Shimankar,1976,Male,Married,5,tertiary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,31000,2,1,1,56000,Boscalid,5,63000,no,1,no,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,32.98,50,3.75370000203451,Saturday,August,0.135,0.05,0.22,0.1,0,0,0.1,0.04,40
1963-M-2255,2023-08-26T22:52:23Z,2023-08-26T22:58:10Z,2023-08-26,yes,Shendam,Kalong,1963,Male,Married,6,tertiary_education,rented,zinc,christian,no,na,april,2,baskets,0,2,24000,17000,2,1,1,58000,Boscalid,4,58000,no,1,no,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,22.67,50,5.76786666711171,Saturday,August,0.09,0.05,0.18,0.1,0,0,0.1,0.04,40
1989-M-4281,2023-08-26T08:58:43Z,2023-08-26T09:04:16Z,2023-08-26,yes,Shendam,Doka tofa,1989,Male,Single,6,secondary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,20000,3,1,1,59000,Boscalid,7,61000,no,2,no,lady_cristyl,0,0,1,0,0,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,45000,no,0,0,manual,no,na,No,24.69,33.33,5.55388333400091,Saturday,August,0.135,0.05,0.32,0.15,0,0,0.15,0.06,60
1968-M-7312,2023-08-26T04:33:30Z,2023-08-26T04:37:35Z,2023-08-26,yes,Shendam,Shimankar,1968,Male,Single,3,tertiary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,16000,3,1,1,63000,Boscalid,5,54000,no,2,no,nicola,0,0,0,1,0,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,22.86,33.33,4.0713666677475,Saturday,August,0.135,0.05,0.22,0.1,0,0,0.1,0.04,40
1969-F-2426,2023-08-26T04:37:35Z,2023-08-26T04:44:36Z,2023-08-26,no,Shendam,Kuka,1969,Female,Married,5,secondary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,17000,3,1,1,73000,Boscalid,6,62000,no,1,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,21.52,33.33,7.02275000015895,Saturday,August,0.135,0.05,0.27,0.1,0,0,0.1,0.04,40
1967-M-4346,2023-09-01T04:03:15Z,2023-09-01T04:07:59Z,2023-09-01,yes,Shendam,Lakushi,1967,Male,Married,6,primary_education,owned,zinc,muslim,no,na,april,3,baskets,0,2,24000,24000,3,1,1,89000,Boscalid,6,58000,no,3,no,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,30000,no,0,0,manual,no,na,No,29.27,33.33,4.72800000111262,Friday,September,0.135,0.05,0.27,0.15,0,0,0.15,0.06,60
1996-F-8637,2023-08-26T23:45:45Z,2023-08-26T23:51:31Z,2023-08-27,no,Shendam,Biembiem,1996,Female,Single,3,tertiary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,31000,3,1,1,60000,Boscalid,6,50000,no,2,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,38.27,33.33,5.77916666666667,Saturday,August,0.135,0.05,0.27,0.1,0,0,0.1,0.04,40
1986-M-1815,2023-08-26T05:05:12Z,2023-08-26T05:11:13Z,2023-08-26,no,Shendam,Doka,1986,Male,Married,4,tertiary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,18000,2,1,1,55000,Boscalid,6,55000,no,2,no,marabel,0,1,0,0,0,0,june,0,1,0,0,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,24.66,50,6.01348333358765,Saturday,August,0.135,0.05,0.27,0.1,0,0,0.1,0.04,40
1981-M-1401,2023-09-01T05:09:13Z,2023-09-01T05:12:55Z,2023-09-01,no,Shendam,Kuka,1981,Male,Married,3,tertiary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,20000,2,1,1,56000,Boscalid,4,56000,no,2,no,caruso,1,0,0,0,0,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,26.32,50,3.70479999780655,Friday,September,0.135,0.05,0.18,0.1,0,0,0.1,0.04,40
1975-M-1815,2023-08-26T03:03:52Z,2023-08-26T03:08:43Z,2023-08-26,yes,Shendam,Kwande,1975,Male,Married,4,tertiary_education,rented,zinc,christian,no,na,april,2,baskets,0,2,24000,6000,1,1,1,50000,Boscalid,3,35000,no,1,no,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,14.63,100,4.84515000184377,Saturday,August,0.09,0.05,0.14,0.1,0,0,0.1,0.04,40
1973-M-9909,2023-09-01T03:44:13Z,2023-09-01T03:52:17Z,2023-09-01,yes,Shendam,Damshin,1973,Male,Married,4,secondary_education,owned,zinc,christian,no,na,april,3,baskets,0,2,24000,15000,3,1,1,60000,Boscalid,6,68000,no,2,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,30000,no,0,0,manual,no,na,No,18.07,33.33,8.05888333320618,Friday,September,0.135,0.05,0.27,0.15,0,0,0.15,0.06,60
