id,today,survey_day,survey_month,lga_of_residence,village,time_taken,birth_year,gender,marital_status,household_size,educational_level,living_arrangement,roof_type,coop_society_member,planting_time,potato_farmsize_ha,farmsize_others_ha,potato_seeds_tons,cost_of_seeds,cost_of_farm_prep,total_fert_bags_purchased,total_cost_of_fert,mixed_cropping,years_of_experience,prior_participation,potato_variety,time_of_harvest,potato_harvested_tons,need_a_store,find_storage_facility,qty_potato_stored_tons,post_harvest_losses,post_harvest_loss_tons,potato_sold_tons,potato_price_kg,potato_price_ton,hired_labourers,hired_labourers_num,labourers_wages,nature_of_labour
2004-M-8548,2023-08-23,Wednesday,August,Mangu,KASUWA ALI,2.8032666683197,2004,Male,Single,4,primary_education,inherited,zinc,no,may,4.5,2.25,0.25,100000,40000,4,100000,yes,3,no,marabel,july,2.6,yes,yes,2.5,no,0,2.25,400,400000,yes,3,30000,manual
2003-F-9876,2023-08-30,Wednesday,August,Jos East,Natong Fursa,131.970566666126,2003,Female,Married,7,primary_education,owned,zinc,yes,may,0.14,0.18,0.2,52000,18000,3,60000,yes,3,yes,caruso other,august,0.7,no,na,0,no,0,0.65,372,372000,yes,2,12000,manual
2003-M-1346,2023-08-30,Wednesday,August,Jos East,Natong Fursa,3.91358333428701,2003,Male,Single,6,secondary_education,inherited,zinc,yes,may,0.18,0.22,0.25,76000,18000,4,84000,yes,3,yes,caruso lady_cristyl other,august,0.8,no,na,0,no,0,0.7,360,360000,no,0,0,manual
2003-F-9336,2023-08-29,Tuesday,August,Jos East,DURBI,4.00754999717077,2003,Female,Single,5,secondary_education,inherited,zinc,yes,may,0.22,0.18,0.3,108000,21000,5,120000,yes,4,yes,lady_cristyl other,august,0.85,no,na,0,no,0,0.8,372,372000,yes,3,21000,manual
2003-F-6911,2023-08-30,Wednesday,August,Jos East,Natong Fursa,4.25190000136693,2003,Female,Married,5,primary_education,rented,zinc,yes,may,0.14,0.22,0.2,64000,24000,4,84000,yes,4,yes,lady_cristyl other,august,0.8,no,na,0,no,0,0.75,364,364000,no,0,0,manual
2003-F-9385,2023-08-22,Tuesday,August,Mangu,Kungtup,3.63258333206177,2003,Female,Single,4,non_formal_education,inherited,zinc,no,may,6.75,4.5,0.35,150000,70000,6,150000,no,3,no,marabel,july,3,yes,yes,2.75,no,0,2.5,400,400000,yes,7,70000,manual
2003-F-5617,2023-08-23,Wednesday,August,Mangu,KASUWA ALI,3.25441666444143,2003,Female,Single,4,primary_education,inherited,zinc,no,may,4.5,2.25,0.25,100000,40000,4,100000,yes,3,no,marabel,august,3,yes,yes,2.85,no,0,2.5,400,400000,yes,40,40000,manual
2003-F-2167,2023-09-04,Monday,September,Jos North,Babale,29.8913833340009,2003,Female,Married,3,secondary_education,owned,zinc,yes,may,0.45,0.68,0.15,60000,9000,200,70000,yes,6,yes,marabel,july,1.85,no,na,0,yes,0.1,1.5,320,320000,yes,3,15000,manual
2002-M-9199,2023-08-18,Friday,August,Jos East,Gada,5.27699999809265,2002,Male,Single,6,secondary_education,inherited,zinc,yes,april,0.22,0.27,0.3,90000,43000,6,120000,yes,4,yes,caruso marabel,august,0.9,no,na,0,no,0,0.8,360,360000,yes,4,48000,manual
2002-F-5946,2023-08-22,Tuesday,August,Mangu,KWAHAS,3.21481666564941,2002,Female,Single,3,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,3,no,caruso,july,2.65,yes,yes,2.5,no,0,2.25,400,400000,yes,5,50000,manual
2002-M-0462,2023-08-22,Monday,August,Mangu,MPER,4.34986666440964,2002,Male,Single,2,primary_education,inherited,zinc,no,may,9,4.5,0.5,200000,100000,8,200000,no,3,no,caruso,august,5,yes,yes,4.5,no,0,4,400,400000,yes,10,100000,manual
2002-M-3306,2023-09-01,Friday,September,Jos North,Targwong,10.440499997139,2002,Male,Single,1,secondary_education,inherited,zinc,yes,may,0.36,0.5,0.1,64000,3000,100,35000,no,2,no,other,july,1.3,no,na,0,yes,0.05,1.2,340,340000,yes,2,15000,manual
2001-F-8959,2023-08-31,Thursday,August,Jos East,Kutek,3.65780000289281,2001,Female,Married,5,secondary_education,inherited,zinc,yes,may,0.14,0.22,0.25,76000,16000,3,62000,yes,6,yes,marabel other,august,0.8,no,na,0,no,0,0.75,374,374000,no,0,0,manual
2001-F-3306,2023-09-03,Sunday,September,Jos North,Dong,7.39703333377838,2001,Female,Single,2,secondary_education,inherited,zinc,no,may,0.22,0,0.07,30000,3000,50,17500,no,2,no,marabel,july,0.5,no,na,0,no,0,0.45,340,340000,no,0,0,manual
2000-M-7954,2023-08-18,Friday,August,Jos East,Zangham,7.56784999767939,2000,Male,Single,7,secondary_education,inherited,zinc,yes,may,0.18,0.27,0.25,75000,48000,8,168000,yes,4,yes,caruso marabel,august,0.85,no,na,0,no,0,0.75,370,370000,yes,4,58000,manual
2000-F-9584,2023-09-01,Friday,September,Jos East,Rizek,4.98231666882833,2000,Female,Single,7,secondary_education,inherited,zinc,yes,may,0.18,0.32,0.3,82000,32000,4,86000,yes,5,no,caruso marabel other,august,0.9,no,na,0,no,0,0.8,372,372000,no,0,0,manual
2000-F-2026,2023-08-19,Friday,August,Jos East,Fadan-Dabo,5.14216666618983,2000,Female,Single,6,secondary_education,inherited,zinc,yes,may,0.14,0.22,0.2,80000,0,7,147000,yes,5,yes,caruso marabel,august,0.9,no,na,0,no,0,0.85,370,370000,no,0,0,manual
2000-F-7650,2023-08-29,Tuesday,August,Jos East,DURBI,4.18226666450501,2000,Female,Single,6,secondary_education,inherited,zinc,yes,may,0.18,0.22,0.25,85000,28000,4,85000,yes,4,yes,lady_cristyl other,august,0.8,no,na,0,no,0,0.75,380,380000,yes,2,18000,manual
2000-F-8202,2023-09-03,Sunday,September,Jos South,Tya Vwang,69.9672000010808,2000,Female,Single,5,secondary_education,inherited,zinc,yes,may,0.09,0.04,0.07,45000,10000,1,26500,yes,4,no,marabel,july,0.65,no,na,0,no,0,0.6,340,340000,yes,8,16000,manual
2000-M-8411,2023-08-22,Tuesday,August,Mangu,DUNGLA'AR,4.00613332986832,2000,Male,Single,4,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,3,no,marabel,july,2.7,yes,yes,2.55,no,0,2.35,400,400000,yes,5,50000,manual
2000-F-4024,2023-08-22,Tuesday,August,Mangu,Kungtup,4.23349999984105,2000,Female,Single,4,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,4,no,marabel,july,2.65,yes,yes,2.5,no,0,2.25,400,400000,yes,5,50000,manual
2000-M-1839,2023-08-22,Monday,August,Mangu,MURISH,3.64609999656677,2000,Male,Single,3,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,no,5,no,caruso,july,2.5,yes,yes,2.25,no,0,1.75,400,400000,yes,5,50000,manual
2000-F-2718,2023-08-24,Thursday,August,Mangu,Panyam,2.98013333082199,2000,Female,Single,3,secondary_education,owned,zinc,no,april,2.25,2.25,0.2,35000,3500,3,98000,no,3,no,other,august,1.75,no,na,0,no,0,1.65,780,780000,no,0,0,manual
2000-M-6928,2023-09-03,Sunday,September,Jos North,Targwong,9.36354999939601,2000,Male,Married,3,secondary_education,owned,zinc,yes,july,0.54,0.41,0.15,78000,12000,200,72000,yes,3,no,nicola,july,1.6,no,na,0,yes,0.15,1.4,320,320000,no,0,0,manual
2000-M-2056,2023-09-04,Monday,September,Jos North,Babale,4.89413333336512,2000,Male,Single,0,secondary_education,rented,thatched,no,march,0.14,0,0.05,9000,30000,6,100000,no,2,no,marabel,august,1.25,no,na,0,no,0,0.6,320,320000,no,0,0,manual
1999-M-7797,2023-08-24,Thursday,August,Jos East,Rifet fursum,4.67303333282471,1999,Male,Single,8,secondary_education,inherited,zinc,no,may,0.18,0.32,0.25,86000,18000,4,84000,yes,5,no,marabel other,august,0.9,yes,yes,0.5,no,0,0.4,372,372000,no,0,0,manual
1999-M-9373,2023-08-24,Thursday,August,Jos East,Rifet fursum,5.33066666523615,1999,Male,Single,8,secondary_education,inherited,zinc,yes,may,0.27,0.27,0.35,62000,32000,6,126000,yes,5,no,caruso marabel other,august,1.05,no,na,0,no,0,1,372,372000,no,0,0,manual
1999-F-7881,2023-08-18,Friday,August,Jos East,Zagham,8.71189999977748,1999,Female,Single,6,secondary_education,inherited,zinc,yes,may,0.22,0.27,0.3,90000,50000,7,140000,yes,4,yes,caruso marabel,august,0.75,no,na,0,no,0,0.7,350,350000,yes,5,60000,manual
1999-M-5335,2023-09-03,Sunday,September,Jos North,Naraguta,30.141733332475,1999,Male,Married,5,tertiary_education,owned,zinc,yes,may,0.45,0.81,0.1,55000,6000,100,36000,yes,4,no,other,august,1.4,no,na,0,yes,0.1,1.1,340,340000,no,0,0,manual
1999-M-8928,2023-09-03,Sunday,September,Jos North,Jos jarawa,13.8071166674296,1999,Male,Married,5,secondary_education,rented,zinc,no,june,0.58,0.9,0.17,68000,10000,200,80000,yes,6,yes,marabel,july,2.1,no,na,0,yes,0.1,1.5,340,340000,yes,2,25000,manual
1999-F-4965,2023-08-22,Monday,August,Mangu,MURISH,3.51138333479563,1999,Female,Single,4,non_formal_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,no,4,yes,caruso,august,2.55,yes,yes,2.25,no,0,2,400,400000,yes,5,50000,manual
1999-M-2074,2023-08-22,Tuesday,August,Mangu,Swan,4.91601666609446,1999,Male,Single,4,non_formal_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,no,4,no,caruso,july,2.6,yes,yes,2.3,no,0,2,400,400000,yes,5,50000,manual
1999-M-9938,2023-08-23,Wednesday,August,Mangu,KASUWA ALI,3.87766666809718,1999,Male,Single,4,primary_education,inherited,zinc,no,may,9,4.5,0.5,200000,100000,8,200000,yes,5,no,caruso,july,5.95,yes,yes,5.25,no,0,4.5,400,400000,yes,10,100000,manual
1999-M-7305,2023-09-03,Sunday,September,Jos North,Narakuta,332.904799997807,1999,Male,Married,4,tertiary_education,rented,zinc,no,may,0.09,0,0.05,12000,30000,3,87000,no,2,no,marabel,august,0.5,no,na,0,no,0,0.25,400,400000,no,0,0,manual
1999-M-8994,2023-08-22,Monday,August,Mangu,MPER,3.63978333473206,1999,Male,Single,3,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,no,4,no,marabel,july,2.6,yes,yes,2.4,no,0,1.75,400,400000,yes,4,40000,manual
1999-F-9184,2023-08-24,Thursday,August,Mangu,Panyam,4.36966666777929,1999,Female,Single,3,tertiary_education,owned,zinc,no,april,2.25,2.25,0.25,35000,3000,3,98000,no,2,no,diamant,august,1.9,no,na,0,no,0,1.75,760,760000,no,0,0,manual
1999-M-1155,2023-08-26,Saturday,August,Mangu,A/West,2.92306666771571,1999,Male,Married,3,secondary_education,owned,zinc,no,april,4.5,4.5,0.4,35000,4000,6,145000,no,5,no,other,july,3.15,no,na,0,no,0,3,780,780000,no,0,0,manual
1999-F-8123,2023-08-22,Tuesday,August,Mangu,DUNGLA'AR,3.57158333063126,1999,Female,Single,2,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,3,100000,no,4,no,caruso,july,2.65,yes,yes,2.5,no,0,2.15,400,400000,yes,4,45000,manual
1998-M-7923,2023-09-04,Sunday,September,Jos North,Babale,14.8578166683515,1998,Male,Married,9,secondary_education,owned,zinc,no,may,0.5,1.03,0.15,66000,12000,200,70000,yes,8,yes,marabel,july,2.25,yes,yes,2,yes,0.1,2,340,340000,yes,5,18000,manual
1998-M-8808,2023-08-16,Wednesday,August,Bassa,Jengre. (Anguwar Garba),23.0874499996503,1998,Male,Single,6,secondary_education,inherited,zinc,yes,may,0.18,0.41,0.1,84000,32000,5,125000,no,6,no,nicola,june,1.5,no,na,0,no,0,1.35,460,460000,yes,22,41000,manual
1998-F-7874,2023-08-27,Sunday,August,Jos East,DURBI,4.93251666625341,1998,Female,Single,6,secondary_education,inherited,zinc,yes,may,0.18,0.22,0.25,86000,0,5,5,yes,4,no,caruso marabel other,august,0.9,no,na,0,no,0,0.75,372,372000,no,0,0,manual
1998-M-3432,2023-08-31,Thursday,August,Jos South,Nyango Gura Gyel,27.3425166686376,1998,Male,Single,6,secondary_education,inherited,zinc,yes,may,0.09,0.09,0.07,45000,10000,1,26500,yes,4,no,nicola,august,0.85,no,na,0,no,0,0.8,340,340000,yes,9,18000,manual
1998-F-3219,2023-08-21,Monday,August,Mangu,KOPAL,3.68161666790644,1998,Female,Single,5,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,no,6,no,marabel,july,2.55,yes,yes,2.25,no,0,1.9,400,400000,yes,5,50000,manual
1998-F-3699,2023-08-31,Thursday,August,Jos East,KUSHIM RIYEA MCS,6.02945000330607,1998,Female,Single,5,secondary_education,inherited,zinc,yes,may,0.18,0.32,0.3,118000,30000,5,105000,yes,5,yes,marabel other,august,0.9,no,na,0,no,0,0.85,374,374000,no,0,0,manual
1998-F-8152,2023-08-31,Thursday,August,Jos South,Nyango Gura Gyel,23.9635999997457,1998,Female,Single,5,secondary_education,inherited,zinc,yes,may,0.09,0.09,0.1,60000,12000,2,53000,yes,5,no,marabel,august,1.2,no,na,0,no,0,1.15,360,360000,yes,12,24000,manual
1998-F-5917,2023-09-03,Sunday,September,Jos South,Hwak Kuru,487.320833333333,1998,Female,Single,5,secondary_education,inherited,zinc,yes,may,0.09,0.14,0.1,60000,15000,2,53000,yes,8,no,nicola,july,0.8,no,na,0,no,0,0.75,340,340000,yes,16,32000,manual
1998-M-8747,2023-09-03,Sunday,September,Jos South,Tya Vwang,62.4997833331426,1998,Male,Single,5,tertiary_education,inherited,zinc,yes,may,0.09,0.14,0.1,60000,13000,2,53000,yes,9,no,marabel,july,0.8,no,na,0,no,0,0.75,330,330000,yes,12,24000,manual
1998-F-7530,2023-08-22,Tuesday,August,Mangu,DUNGLA'AR,4.03713333209356,1998,Female,Single,4,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,50000,50000,4,100000,no,5,no,marabel,july,2.6,yes,yes,2.5,no,0,2.25,400,400000,yes,4,40000,manual
1998-F-3848,2023-08-22,Tuesday,August,Mangu,KWA,2.78550000190735,1998,Female,Single,4,primary_education,inherited,zinc,no,may,4.5,2.25,0.25,100000,50000,4,100000,no,4,no,marabel,august,2.75,yes,yes,2.5,no,0,1.9,400,400000,yes,4,40000,manual
1998-F-0967,2023-08-22,Tuesday,August,Mangu,BONGWAT,4.08260000149409,1998,Female,Single,4,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,no,3,no,marabel,july,2.65,yes,yes,2.5,no,0,2.4,400,400000,yes,5,50000,manual
1998-F-8755,2023-08-22,Tuesday,August,Mangu,DUNGLA'AR,3.75196666717529,1998,Female,Single,4,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,55,no,marabel,july,2.65,yes,yes,2.5,no,0,2.5,400,400000,yes,5,50000,manual
1998-F-4936,2023-08-22,Tuesday,August,Mangu,KWAHAS,3.29021666447322,1998,Female,Married,4,non_formal_education,owned,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,4,no,marabel,july,2.6,yes,yes,2.5,no,0,2.25,400,400000,yes,5,50000,manual
1998-F-1553,2023-08-23,Wednesday,August,Mangu,ANGWAN MUPUN,66.263466668129,1998,Female,Single,4,non_formal_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,4,no,marabel,july,2.75,yes,yes,2.5,no,0,2.5,400,400000,yes,5,50000,manual
1998-F-0911,2023-08-25,Friday,August,Mangu,Tong'ashak,2.50433333317439,1998,Female,Married,4,secondary_education,owned,zinc,no,april,6.75,6.75,0.5,35000,5000,7,175000,no,8,yes,caruso,august,4.75,no,na,0,no,0,4.5,740,740000,yes,4,9000,manual
1998-M-1497,2023-08-18,Friday,August,Mangu,Pang panyam,4.63986666599909,1998,Male,Married,3,tertiary_education,owned,zinc,no,april,2.25,2.25,0.25,40000,2500,3,75000,no,4,no,nicola,july,2.15,no,na,0,no,0,2,760,760000,no,0,0,manual
1998-M-3091,2023-08-22,Tuesday,August,Mangu,KWAHAS,2.95116666555405,1998,Male,Single,3,non_formal_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,5,no,caruso,august,2.9,yes,yes,2.7,no,0,2.35,400,400000,yes,5,50000,manual
1998-F-0384,2023-08-24,Thursday,August,Mangu,Tong'ashak,3.17804999748866,1998,Female,Married,3,secondary_education,owned,zinc,no,april,4.5,4.5,0.4,35000,3500,6,145000,no,4,no,marabel,august,3.4,no,na,0,no,0,3.25,760,760000,no,0,0,manual
1998-F-4965,2023-08-25,Friday,August,Mangu,Kombun,955.561066667239,1998,Female,Married,3,secondary_education,rented,zinc,no,april,4.5,4.5,0.45,35000,4000,6,145000,no,5,no,diamant,august,3.7,no,na,0,no,0,3.55,740,740000,no,0,0,manual
1998-M-9659,2023-09-03,Sunday,September,Jos South,Tya vwang,54.6361000021299,1998,Male,Married,3,tertiary_education,inherited,zinc,yes,may,0.09,0.09,0.1,60000,12000,2,53000,yes,8,no,marabel,july,1.15,no,na,0,no,0,1,350,350000,yes,20,40000,manual
1998-M-2221,2023-08-21,Monday,August,Mangu,KOPAL,4.01109999815623,1998,Male,Single,2,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,45000,4,100000,no,3,no,marabel,august,2.5,yes,yes,2.4,no,0,2,400,400000,yes,4,40000,manual
1997-M-6342,2023-08-24,Thursday,August,Jos East,Rifet fursum,5.15921666622162,1997,Male,Married,8,secondary_education,owned,zinc,no,may,0.27,0.36,0.35,106000,0,6,128000,yes,7,no,marabel other,august,1.3,no,na,0,no,0,1.15,382,382000,yes,3,15000,manual
1997-M-4505,2023-08-18,Friday,August,Jos East,Gurraghiwi Angware,6.90473333199819,1997,Male,Single,7,tertiary_education,inherited,zinc,yes,may,0.27,0.36,0.4,120000,54000,8,160000,yes,5,yes,caruso lady_cristyl,august,1,no,na,0,no,0,0.9,360,360000,no,0,0,manual
